臺新	0	0.0	0	
臺新國泰世華	0	0.0	0	
臺東	0	0.0	0	
臺灣	0	0.0	0	
臺灣中國	0	0.0	0	
臺灣主計處	0	0.0	0	
臺灣人壽	0	0.0	0	
臺灣人工智慧學校	0	0.0	0	
臺灣證交所	0	0.0	0	
臺灣資料科學協會	0	0.0	0	
臺灣金控	0	0.0	0	
臺灣金管會	0	0.0	0	
臺灣銀行	0	0.0	0	
臺積電	0	0.0	0	
臺美	0	0.0	0	
臺達電	0	0.0	0	
臺金合庫	0	0.0	0	
臺銀	0	0.0	0	
芬蘭	0	0.0	0	
花旗	10	0.2	2	誇急 (1), 有關係 (1)
花旗統一凱基	0	0.0	0	
花旗銀行	0	0.0	0	
花蓮	0	0.0	0	
苗栗縣	0	0.0	0	
英國	3	0.0	0	
英鎊	0	0.0	0	
茂德	0	0.0	0	
華南	2	0.5	1	一方面 (1)
華南兆豐	0	0.0	0	
華夏基金	0	0.0	0	
華爾街日報	1	1.0	1	還有今天日報 (1)
華興麗華	0	0.0	0	
萬泰商業銀行	0	0.0	0	
葉倫	0	0.0	0	
葉輪	0	0.0	0	
葡萄牙	0	0.0	0	
董事會	13	0.0	0	
蘇澳	0	0.0	0	
行政院	1	0.0	0	
行政院長	0	0.0	0	
西屯	0	0.0	0	
西班牙	0	0.0	0	
觀光局	0	0.0	0	
許誠洲	2	1.0	2	許承 (1), 是陳洲 (1)
詹怡	0	0.0	0	
誠信銀行	0	0.0	0	
謝冠仁	6	0.33	2	現在 (1), 下半 (1)
謝冠綸	1	1.0	1	謝冠仁 (1)
謝資深	0	0.0	0	
證交所	2	0.0	0	
證期局	0	0.0	0	
財務管理事業處	0	0.0	0	
財務處	0	0.0	0	
財務部	0	0.0	0	
財委會	0	0.0	0	
財富管理事業處	0	0.0	0	
財富管理企業處	0	0.0	0	
財富管理會	0	0.0	0	
財富管理處	0	0.0	0	
財富管理銀行	0	0.0	0	
財富處	4	0.75	3	還不錯 (2), 財富 (1)
財富通	0	0.0	0	
財富部長	0	0.0	0	
財政部	0	0.0	0	
財金處	1	0.0	0	
財金處法金處	0	0.0	0	
賀寶芙	0	0.0	0	
越南	2	0.0	0	
越南同奈分行	0	0.0	0	
越南辦事處	0	0.0	0	
道瓊	4	0.0	0	
邱毅	0	0.0	0	
郭怡鷰	0	0.0	0	
都玉於	0	0.0	0	
鄭州	0	0.0	0	
鄭恩榮	0	0.0	0	
金三角	1	0.0	0	
金控	187	0.043	8	控 (2), _ (2), 那放 (1), 扣 (1), 存放款 (1), 之後 (1)
金控公司	0	0.0	0	
金榮	0	0.0	0	
金管會	5	0.0	0	
金華證券分公司	0	0.0	0	
金融局	0	0.0	0	
銀監會	0	0.0	0	
銀行公會	0	0.0	0	
銀行局	0	0.0	0	
長安	1	0.0	0	
長安分行	0	0.0	0	
長安支行	0	0.0	0	
阿根廷	0	0.0	0	
阿緯	0	0.0	0	
阿里山	0	0.0	0	
阿里巴巴	0	0.0	0	
阿里巴巴集團	0	0.0	0	
陳昇委	0	0.0	0	
陳生偉	0	0.0	0	
陳美滿	4	0.0	0	
陳通陳	0	0.0	0	
雪梨	0	0.0	0	
雪梨分行	0	0.0	0	
非洲	0	0.0	0	
韓國	0	0.0	0	
香港	20	0.05	1	相當 (1)
香港分行	0	0.0	0	
香港新加坡	0	0.0	0	
馬德望	0	0.0	0	
騰訊	0	0.0	0	
騰訊集團	0	0.0	0	
高雄	0	0.0	0	
高雄企銀	0	0.0	0	
高雄市	0	0.0	0	
鴻海集團	0	0.0	0	
麥克	0	0.0	0	
麥克風	1	1.0	1	_ (1)
黃南洲	0	0.0	0	
